symbol,name,exchange,category,country,category_number
ORL.TO,Orocobre Limited,TOR,Copper,Canada,131
ORLY,O'Reilly Automotive Inc.,NMS,Auto Parts Stores,USA,738
ORM,"Owens Realty Mortgage, Inc.",ASE,REIT - Office,USA,441
ORMP,Oramed Pharmaceuticals Inc.,NCM,Biotechnology,USA,515
ORN,"Orion Marine Group, Inc",NYQ,Heavy Construction,USA,635
ORNC,Oranco Inc.,OBB,,USA,0
ORPEF,ORPEA Soci,PNK,,USA,0
ORRCF,Oroco Resource Corp.,PNK,,USA,0
ORRF,Orrstown Financial Services Inc.,NCM,Regional - Northeast Banks,USA,411
ORSD.IL,ORASCM SP GDR REG-S,IOB,,United Kingdom,0
ORSDF,Orascom Construction Industries Company,PNK,,USA,0
ORSI.TA,ILEX MEDICAL,TLV,,Israel,0
ORSUF,Orsu Metals Corporation,PNK,,USA,0
ORSX,Orsus Xelent Technologies Inc.,PNK,,USA,0
ORT.TO,Orbite Aluminae Inc,TOR,Aluminum,Canada,132
ORV.TO,Orvana Minerals Corp.,TOR,Industrial Metals & Minerals,Canada,133
ORVMF,Orvana Minerals Corp.,PNK,,USA,0
ORX.V,OREFINDERS RESOURCES INC,VAN,,Canada,0
ORXE,"Ore Holdings, Inc",PNK,,USA,0
ORYN,"Oryon Technologies, Inc.",PNK,,USA,0
OS2.DU,OSI SYSTEMS,DUS,Diversified Electronics,Germany,836
OSAGF,OSRAM Licht AG,PNK,,USA,0
OSBC,Old Second Bancorp Inc.,NMS,Regional - Midwest Banks,USA,414
OSBCP,"Old Second Bancorp, Inc.",NMS,,USA,0
OSBI,Ohio State Bancshares Inc.,PNK,,USA,0
OSBK,OSAGE BANCSHARES INC,PNK,,USA,0
OSCUF,"Japan Exchange Group, Inc.",PNK,,USA,0
OSG.F,OSG,FRA,,Germany,0
OSGFF,OpSec Security Group plc,PNK,,USA,0
OSGIQ,Overseas Shipholding Group Inc.,PNK,,USA,0
OSHC,Ocean Shore Holding Co.,NGM,Regional - Northeast Banks,USA,411
OSHSQ,OSH 1 Liquidating Corporation,PNK,,USA,0
OSHWQ,OSH 1 Liquidating Corporation,PNK,,USA,0
OSI.PA,Ausy SA,PAR,Information Technology Services,France,824
OSIR,"Osiris Therapeutics, Inc.",NGM,Biotechnology,USA,515
OSIS,"OSI Systems, Inc.",NMS,Industrial Electrical Equipment,USA,627
OSK,Oshkosh Corporation,NYQ,Trucks & Other Vehicles,USA,331
OSK.TO,Osisko Mining Corporation,TOR,Gold,Canada,134
OSKFF,Osisko Mining Corporation,PNK,,USA,0
OSKIF,Ocean Sky International Limited,PNK,,USA,0
OSKXF,OSAKA STEEL CO LTD,PNK,,USA,0
OSL-UN.TO,OCP SENIOR CREDIT FUND,TOR,,Canada,0
OSLH,OSL Holdings Inc.,PNK,Office Supplies,USA,327
OSMIF,OSIM INTL LTD,PNK,,USA,0
OSN,"Ossen Innovation Co., Ltd.",NCM,Steel & Iron,USA,130
OSNDF,MBN CORPORATION,PNK,,USA,0
OSOK,ORIGINAL SOURCE,OBB,,USA,0
OSR.DE,OSRAM LICHT N,GER,,Germany,0
OSTK,Overstock.com Inc.,NGM,Catalog & Mail Order Houses,USA,739
OSTLY,Arrium Limited,PNK,,USA,0
OSTO,"Original Sixteen to One Mine, Inc.",PNK,Gold,USA,134
OSUKF,OTSUKA SHOKAI CO LTD,PNK,,USA,0
OSUR,OraSure Technologies Inc.,NMS,Medical Instruments & Supplies,USA,520
OSWALAG.BO,Oswal Agro Mills Ltd.,BSE,Asset Management,India,422
OSWAYRN.BO,Oswal Yarns Ltd.,BSE,Textile - Apparel Clothing,India,320
OSXB3.SA,OSX BRASIL  -ON      NM,SAO,,Brazil,0
OTC.L,ORTAC RESOURCES,LSE,,United Kingdom,0
OTC.TO,Open Text Corporation,TOR,Technical & System Software,Canada,822
OTCL,OTC WIRELESS INC,PNK,,USA,0
OTCM,OTC Markets Group Inc,PNK,,USA,0
OTE.F,HELLENIC TELECOM,FRA,Wireless Communications,Germany,840
OTED,"Oak Tree Educational Partners, Inc.",PNK,,USA,0
OTEL,Otelco Inc.,NGM,Long Distance Carriers,USA,843
OTEX,Open Text Corporation,NMS,Application Software,USA,821
OTIV,On Track Innovations Ltd.,NGM,Processing Systems & Products,USA,842
OTMN,OT Mining Corp.,PNK,,USA,0
OTMT.L,,,,,0
OTPGF,OTP Bank Plc.,PNK,,USA,0
OTSKY,"Otsuka Holdings Co., Ltd.",PNK,,USA,0
OTTR,Otter Tail Corporation,NMS,Diversified Utilities,USA,913
OTTW,"Ottawa Savings Bancorp, Inc.",OBB,Regional - Midwest Banks,USA,414
OTV.VI,OTTAKR GETR VZ,VIE,,Austria,0
OTX.F,OPEN TEXT,FRA,Technical & System Software,Germany,822
OUTA.F,OUTOKUMPU,FRA,Steel & Iron,Germany,130
OUTR,Outerwall Inc.,NMS,"Specialty Retail, Other",USA,745
OVAS,"OvaScience, Inc.",NGM,Biotechnology,USA,515
OVBC,Ohio Valley Banc Corp.,NGM,Regional - Midwest Banks,USA,414
OVER.F,OVERSTOCK.COM,FRA,"Specialty Retail, Other",Germany,745
OVLY,Oak Valley Bancorp,NCM,Regional - Pacific Banks,USA,416
OVRL,Overland Storage Inc.,NCM,Data Storage Devices,USA,813
OVTI,"OmniVision Technologies, Inc.",NMS,Semiconductor - Integrated Circuits,USA,833
OWW,"Orbitz Worldwide, Inc.",NYQ,General Entertainment,USA,716
OWX.BE,YPSOMED HLDG N,BER,Medical Appliances & Equipment,Germany,521
OWX.F,YPSOMED HLDG N,FRA,Medical Appliances & Equipment,Germany,521
OWX.MU,YPSOMED HLDG N,MUN,Medical Appliances & Equipment,Germany,521
OX.V,Orex Exploration Inc.,VAN,Gold,Canada,134
OXBT,"Oxygen Biotherapeutics, Inc.",NCM,Biotechnology,USA,515
OXF,"Oxford Resource Partners, L.P.",NYQ,Industrial Metals & Minerals,USA,133
OXFC,"Oxford City Football Club, Inc.",PNK,,USA,0
OXFIE.SW,FIELMANN,EBS,,Switzerland,0
OXGN,"OXiGENE, Inc.",NCM,Biotechnology,USA,515
OXGP.MU,OXIGENE,MUN,,Germany,0
OXJEN.SW,JENOPTIK,EBS,,Switzerland,0
OXLC,Oxford Lane Capital Corp.,NMS,,USA,0
OXLCP,Oxford Lane Capital Corp.,NMS,,USA,0
OXM,Oxford Industries Inc.,NYQ,Textile - Apparel Clothing,USA,320
OXO1BC.SW,XING N,EBS,,Switzerland,0
OXV.SG,STEINHOFF INTL HLDG,STU,Home Furnishings & Fixtures,Germany,311
OXY,Occidental Petroleum Corporation,NYQ,Independent Oil & Gas,USA,121
OXYS,"OxySure Systems, Inc.",OBB,Medical Appliances & Equipment,USA,521
OY3.F,OCEAN YIELD,FRA,,Germany,0
OYL.V,"CGX Energy, Inc.",VAN,Independent Oil & Gas,Canada,121
OYM.TO,Besra Gold Inc.,TOR,Gold,Canada,134
OYP12.BA,YPF S A 19% NT 18/12/2013 ARS,BUE,,Argentina,0
OYP14.BA,YPF S.A. 19% NT 05/03/2014 ARS1,BUE,,Argentina,0
OYP15.BA,YPF SOCIEDAD ANONIMA 2.5% NT 07,BUE,,Argentina,0
OYPF0.BA,YPF SOCIEDAD ANONIMA 6.25% NT 1,BUE,,Argentina,0
OZL.AX,OZ Minerals Limited,ASX,Copper,Australia,131
OZM,Och-Ziff Capital Management Group LLC,NYQ,Asset Management,USA,422
OZMLF,OZ Minerals Limited,PNK,,USA,0
OZRK,"Bank of the Ozarks, Inc.",NMS,Regional - Southeast Banks,USA,413
OZV2.BE,PPC -NPV-,BER,General Building Materials,Germany,634
OZV2.F,PPC -NPV-,FRA,General Building Materials,Germany,634
OZV2.SG,PPC -NPV-,STU,General Building Materials,Germany,634
OZY.NZ,smartOZZY,NZE,,NewZealand,0
P,"Pandora Media, Inc.",NYQ,Broadcasting - Radio,USA,724
P.TO,Primero Mining Corp.,TOR,Gold,Canada,134
P15.SI,Pacific Century Regional Developments Ltd.,SES,Asset Management,Singapore,422
P2G1.SG,BWIN.PARTY DGTL  EN,STU,Gaming Activities,Germany,714
P2H.DU,PARTNERS GRP HLDG N,DUS,Asset Management,Germany,422
P30.SI,United Fiber System Limited,SES,General Contractors,Singapore,636
P4T.DE,primion Technology AG,GER,Security & Protection Services,Germany,765
P52.SI,Pan-United Corporation Limited,SES,General Building Materials,Singapore,634
P7K.F,PRIMELINE ENERGY,FRA,Independent Oil & Gas,Germany,121
P9R.SG,PRIMAG,STU,Residential Construction,Germany,630
PA9.BE,TRAVLR COMP,BER,,Germany,0
PAA,"Plains All American Pipeline, L.P.",NYQ,Oil & Gas Pipelines,USA,125
PAA.TO,Pan American Silver Corp.,TOR,Silver,Canada,135
PAAS,Pan American Silver Corp.,NMS,,USA,0
PABY11.SA,FII PANAMBY -CI,SAO,,Brazil,0
